Season,Team,PLD,GF,GA,PTS
D1_2010_2011.csv,Dortmund,34,67,22,75
D1_2010_2011.csv,Leverkusen,34,64,44,68
D1_2010_2011.csv,Bayern Munich,34,81,40,65
D1_2010_2011.csv,Hannover,34,49,45,60
D1_2010_2011.csv,Mainz,34,52,39,58
D1_2010_2011.csv,Nurnberg,34,47,45,47
D1_2010_2011.csv,Kaiserslautern,34,48,51,46
D1_2010_2011.csv,Hamburg,34,46,52,45
D1_2010_2011.csv,Freiburg,34,41,50,44
D1_2010_2011.csv,FC Koln,34,47,62,44
D1_2010_2011.csv,Hoffenheim,34,50,50,43
D1_2010_2011.csv,Stuttgart,34,60,59,42
D1_2010_2011.csv,Werder Bremen,34,47,61,41
D1_2010_2011.csv,Schalke 04,34,38,44,40
D1_2010_2011.csv,Wolfsburg,34,43,48,38
D1_2010_2011.csv,M'gladbach,34,48,65,36
D1_2010_2011.csv,Ein Frankfurt,34,31,49,34
D1_2010_2011.csv,St Pauli,34,35,68,29
