Season,Team,PLD,GF,GA,PTS
D1_2015_2016.csv,Bayern Munich,34,80,17,88
D1_2015_2016.csv,Dortmund,34,82,34,78
D1_2015_2016.csv,Leverkusen,34,56,40,60
D1_2015_2016.csv,M'gladbach,34,67,50,55
D1_2015_2016.csv,Schalke 04,34,51,49,52
D1_2015_2016.csv,Mainz,34,46,42,50
D1_2015_2016.csv,Hertha,34,42,42,50
D1_2015_2016.csv,Wolfsburg,34,47,49,45
D1_2015_2016.csv,FC Koln,34,38,42,43
D1_2015_2016.csv,Hamburg,34,40,46,41
D1_2015_2016.csv,Ingolstadt,34,33,42,40
D1_2015_2016.csv,Augsburg,34,42,52,38
D1_2015_2016.csv,Werder Bremen,34,50,65,38
D1_2015_2016.csv,Darmstadt,34,38,53,38
D1_2015_2016.csv,Hoffenheim,34,39,54,37
D1_2015_2016.csv,Ein Frankfurt,34,34,52,36
D1_2015_2016.csv,Stuttgart,34,50,75,33
D1_2015_2016.csv,Hannover,34,31,62,25
