Season,Team,PLD,GF,GA,PTS
D1_2024_2025.csv,Bayern Munich,34,99,32,82
D1_2024_2025.csv,Leverkusen,34,72,43,69
D1_2024_2025.csv,Ein Frankfurt,34,68,46,60
D1_2024_2025.csv,Dortmund,34,71,51,57
D1_2024_2025.csv,Freiburg,34,49,53,55
D1_2024_2025.csv,Mainz,34,55,43,52
D1_2024_2025.csv,RB Leipzig,34,53,48,51
D1_2024_2025.csv,Werder Bremen,34,54,57,51
D1_2024_2025.csv,Stuttgart,34,64,53,50
D1_2024_2025.csv,M'gladbach,34,55,57,45
D1_2024_2025.csv,Wolfsburg,34,56,54,43
D1_2024_2025.csv,Augsburg,34,35,51,43
D1_2024_2025.csv,Union Berlin,34,35,51,40
D1_2024_2025.csv,St Pauli,34,28,41,32
D1_2024_2025.csv,Hoffenheim,34,46,68,32
D1_2024_2025.csv,Heidenheim,34,37,64,29
D1_2024_2025.csv,Holstein Kiel,34,49,80,25
D1_2024_2025.csv,Bochum,34,33,67,25
