Season,Team,PLD,GF,GA,PTS
D1_2019_2020.csv,Bayern Munich,34,100,32,82
D1_2019_2020.csv,Dortmund,34,84,41,69
D1_2019_2020.csv,RB Leipzig,34,81,37,66
D1_2019_2020.csv,M'gladbach,34,66,40,65
D1_2019_2020.csv,Leverkusen,34,61,44,63
D1_2019_2020.csv,Hoffenheim,34,53,53,52
D1_2019_2020.csv,Wolfsburg,34,48,46,49
D1_2019_2020.csv,Freiburg,34,48,47,48
D1_2019_2020.csv,Ein Frankfurt,34,59,60,45
D1_2019_2020.csv,Hertha,34,48,59,41
D1_2019_2020.csv,Union Berlin,34,41,58,41
D1_2019_2020.csv,Schalke 04,34,38,58,39
D1_2019_2020.csv,Mainz,34,44,65,37
D1_2019_2020.csv,FC Koln,34,51,69,36
D1_2019_2020.csv,Augsburg,34,45,63,36
D1_2019_2020.csv,Werder Bremen,34,42,69,31
D1_2019_2020.csv,Fortuna Dusseldorf,34,36,67,30
D1_2019_2020.csv,Paderborn,34,37,74,20
