Season,Team,PLD,GF,GA,PTS
D1_2016_2017.csv,Bayern Munich,34,89,22,82
D1_2016_2017.csv,RB Leipzig,34,66,39,67
D1_2016_2017.csv,Dortmund,34,72,40,64
D1_2016_2017.csv,Hoffenheim,34,64,37,62
D1_2016_2017.csv,FC Koln,34,51,42,49
D1_2016_2017.csv,Hertha,34,43,47,49
D1_2016_2017.csv,Freiburg,34,42,60,48
D1_2016_2017.csv,Werder Bremen,34,61,64,45
D1_2016_2017.csv,M'gladbach,34,45,49,45
D1_2016_2017.csv,Schalke 04,34,45,40,43
D1_2016_2017.csv,Ein Frankfurt,34,36,43,42
D1_2016_2017.csv,Leverkusen,34,53,55,41
D1_2016_2017.csv,Augsburg,34,35,51,38
D1_2016_2017.csv,Hamburg,34,33,61,38
D1_2016_2017.csv,Mainz,34,44,55,37
D1_2016_2017.csv,Wolfsburg,34,34,52,37
D1_2016_2017.csv,Ingolstadt,34,36,57,32
D1_2016_2017.csv,Darmstadt,34,28,63,25
