Season,Team,PLD,GF,GA,PTS
D1_2023_2024.csv,Leverkusen,34,89,24,90
D1_2023_2024.csv,Stuttgart,34,78,39,73
D1_2023_2024.csv,Bayern Munich,34,94,45,72
D1_2023_2024.csv,RB Leipzig,34,77,39,65
D1_2023_2024.csv,Dortmund,34,68,43,63
D1_2023_2024.csv,Ein Frankfurt,34,51,50,47
D1_2023_2024.csv,Hoffenheim,34,66,66,46
D1_2023_2024.csv,Heidenheim,34,50,55,42
D1_2023_2024.csv,Werder Bremen,34,48,54,42
D1_2023_2024.csv,Freiburg,34,45,58,42
D1_2023_2024.csv,Augsburg,34,50,60,39
D1_2023_2024.csv,Wolfsburg,34,41,56,37
D1_2023_2024.csv,Mainz,34,39,51,35
D1_2023_2024.csv,M'gladbach,34,56,67,34
D1_2023_2024.csv,Union Berlin,34,33,58,33
D1_2023_2024.csv,Bochum,34,42,74,33
D1_2023_2024.csv,FC Koln,34,28,60,27
D1_2023_2024.csv,Darmstadt,34,30,86,17
